Company,Sector,Year,Risk_Category,Mention_Count,Evidence_Snippet
Pearson,Consumer Discretionary,2024,Critical Business & Reliability,17,Mock excerpt from Pearson 2024 AR: We recognize the potential for critical business & reliability to materially impact operations...
Pearson,Consumer Discretionary,2024,Legal & Regulatory Compliance,9,Mock excerpt from Pearson 2024 AR: We recognize the potential for legal & regulatory compliance to materially impact operations...
Pearson,Consumer Discretionary,2024,Frontier Signal (Loss of Control),1,Mock excerpt from Pearson 2024 AR: We recognize the potential for frontier signal (loss of control) to materially impact operations...
Pearson,Consumer Discretionary,2025,Societal & Systemic Harms,5,Mock excerpt from Pearson 2025 AR: We recognize the potential for societal & systemic harms to materially impact operations...
Pearson,Consumer Discretionary,2025,Security & Malicious Use,7,Mock excerpt from Pearson 2025 AR: We recognize the potential for security & malicious use to materially impact operations...
Pearson,Consumer Discretionary,2025,Workforce & Economic Displacement,12,Mock excerpt from Pearson 2025 AR: We recognize the potential for workforce & economic displacement to materially impact operations...
Pearson,Consumer Discretionary,2025,Critical Business & Reliability,13,Mock excerpt from Pearson 2025 AR: We recognize the potential for critical business & reliability to materially impact operations...
Pearson,Consumer Discretionary,2025,Legal & Regulatory Compliance,11,Mock excerpt from Pearson 2025 AR: We recognize the potential for legal & regulatory compliance to materially impact operations...
Pearson,Consumer Discretionary,2025,Frontier Signal (Loss of Control),0,
Relx,Technology,2021,Societal & Systemic Harms,0,
Relx,Technology,2021,Security & Malicious Use,0,
Relx,Technology,2021,Workforce & Economic Displacement,0,
Relx,Technology,2021,Critical Business & Reliability,0,
Relx,Technology,2021,Legal & Regulatory Compliance,0,
Relx,Technology,2021,Frontier Signal (Loss of Control),0,
Relx,Technology,2022,Societal & Systemic Harms,1,Mock excerpt from Relx 2022 AR: We recognize the potential for societal & systemic harms to materially impact operations...
Relx,Technology,2022,Security & Malicious Use,0,
Relx,Technology,2022,Workforce & Economic Displacement,0,
Relx,Technology,2022,Critical Business & Reliability,3,Mock excerpt from Relx 2022 AR: We recognize the potential for critical business & reliability to materially impact operations...
Relx,Technology,2022,Legal & Regulatory Compliance,2,Mock excerpt from Relx 2022 AR: We recognize the potential for legal & regulatory compliance to materially impact operations...
Relx,Technology,2022,Frontier Signal (Loss of Control),0,
Relx,Technology,2023,Societal & Systemic Harms,4,Mock excerpt from Relx 2023 AR: We recognize the potential for societal & systemic harms to materially impact operations...
Relx,Technology,2023,Security & Malicious Use,2,Mock excerpt from Relx 2023 AR: We recognize the potential for security & malicious use to materially impact operations...
Relx,Technology,2023,Workforce & Economic Displacement,1,Mock excerpt from Relx 2023 AR: We recognize the potential for workforce & economic displacement to materially impact operations...
Relx,Technology,2023,Critical Business & Reliability,8,Mock excerpt from Relx 2023 AR: We recognize the potential for critical business & reliability to materially impact operations...
Relx,Technology,2023,Legal & Regulatory Compliance,5,Mock excerpt from Relx 2023 AR: We recognize the potential for legal & regulatory compliance to materially impact operations...
Relx,Technology,2023,Frontier Signal (Loss of Control),0,
Relx,Technology,2024,Societal & Systemic Harms,2,Mock excerpt from Relx 2024 AR: We recognize the potential for societal & systemic harms to materially impact operations...
Relx,Technology,2024,Security & Malicious Use,10,Mock excerpt from Relx 2024 AR: We recognize the potential for security & malicious use to materially impact operations...
Relx,Technology,2024,Workforce & Economic Displacement,3,Mock excerpt from Relx 2024 AR: We recognize the potential for workforce & economic displacement to materially impact operations...
Relx,Technology,2024,Critical Business & Reliability,7,Mock excerpt from Relx 2024 AR: We recognize the potential for critical business & reliability to materially impact operations...
Relx,Technology,2024,Legal & Regulatory Compliance,14,Mock excerpt from Relx 2024 AR: We recognize the potential for legal & regulatory compliance to materially impact operations...
Relx,Technology,2024,Frontier Signal (Loss of Control),1,Mock excerpt from Relx 2024 AR: We recognize the potential for frontier signal (loss of control) to materially impact operations...
Relx,Technology,2025,Societal & Systemic Harms,8,Mock excerpt from Relx 2025 AR: We recognize the potential for societal & systemic harms to materially impact operations...
Relx,Technology,2025,Security & Malicious Use,5,Mock excerpt from Relx 2025 AR: We recognize the potential for security & malicious use to materially impact operations...
Relx,Technology,2025,Workforce & Economic Displacement,4,Mock excerpt from Relx 2025 AR: We recognize the potential for workforce & economic displacement to materially impact operations...
Relx,Technology,2025,Critical Business & Reliability,11,Mock excerpt from Relx 2025 AR: We recognize the potential for critical business & reliability to materially impact operations...
Relx,Technology,2025,Legal & Regulatory Compliance,14,Mock excerpt from Relx 2025 AR: We recognize the potential for legal & regulatory compliance to materially impact operations...
Relx,Technology,2025,Frontier Signal (Loss of Control),0,
Vodafone Group,Telecommunications,2021,Societal & Systemic Harms,1,Mock excerpt from Vodafone Group 2021 AR: We recognize the potential for societal & systemic harms to materially impact operations...
Vodafone Group,Telecommunications,2021,Security & Malicious Use,0,
Vodafone Group,Telecommunications,2021,Workforce & Economic Displacement,0,
Vodafone Group,Telecommunications,2021,Critical Business & Reliability,1,Mock excerpt from Vodafone Group 2021 AR: We recognize the potential for critical business & reliability to materially impact operations...
Vodafone Group,Telecommunications,2021,Legal & Regulatory Compliance,1,Mock excerpt from Vodafone Group 2021 AR: We recognize the potential for legal & regulatory compliance to materially impact operations...
Vodafone Group,Telecommunications,2021,Frontier Signal (Loss of Control),0,
Vodafone Group,Telecommunications,2022,Societal & Systemic Harms,0,
Vodafone Group,Telecommunications,2022,Security & Malicious Use,0,
Vodafone Group,Telecommunications,2022,Workforce & Economic Displacement,2,Mock excerpt from Vodafone Group 2022 AR: We recognize the potential for workforce & economic displacement to materially impact operations...
Vodafone Group,Telecommunications,2022,Critical Business & Reliability,1,Mock excerpt from Vodafone Group 2022 AR: We recognize the potential for critical business & reliability to materially impact operations...
Vodafone Group,Telecommunications,2022,Legal & Regulatory Compliance,0,
Vodafone Group,Telecommunications,2022,Frontier Signal (Loss of Control),0,
Vodafone Group,Telecommunications,2023,Societal & Systemic Harms,3,Mock excerpt from Vodafone Group 2023 AR: We recognize the potential for societal & systemic harms to materially impact operations...
Vodafone Group,Telecommunications,2023,Security & Malicious Use,3,Mock excerpt from Vodafone Group 2023 AR: We recognize the potential for security & malicious use to materially impact operations...
Vodafone Group,Telecommunications,2023,Workforce & Economic Displacement,3,Mock excerpt from Vodafone Group 2023 AR: We recognize the potential for workforce & economic displacement to materially impact operations...
Vodafone Group,Telecommunications,2023,Critical Business & Reliability,4,Mock excerpt from Vodafone Group 2023 AR: We recognize the potential for critical business & reliability to materially impact operations...
Vodafone Group,Telecommunications,2023,Legal & Regulatory Compliance,4,Mock excerpt from Vodafone Group 2023 AR: We recognize the potential for legal & regulatory compliance to materially impact operations...
Vodafone Group,Telecommunications,2023,Frontier Signal (Loss of Control),0,
Vodafone Group,Telecommunications,2024,Societal & Systemic Harms,3,Mock excerpt from Vodafone Group 2024 AR: We recognize the potential for societal & systemic harms to materially impact operations...
Vodafone Group,Telecommunications,2024,Security & Malicious Use,8,Mock excerpt from Vodafone Group 2024 AR: We recognize the potential for security & malicious use to materially impact operations...
Vodafone Group,Telecommunications,2024,Workforce & Economic Displacement,4,Mock excerpt from Vodafone Group 2024 AR: We recognize the potential for workforce & economic displacement to materially impact operations...
Vodafone Group,Telecommunications,2024,Critical Business & Reliability,7,Mock excerpt from Vodafone Group 2024 AR: We recognize the potential for critical business & reliability to materially impact operations...
Vodafone Group,Telecommunications,2024,Legal & Regulatory Compliance,1,Mock excerpt from Vodafone Group 2024 AR: We recognize the potential for legal & regulatory compliance to materially impact operations...
Vodafone Group,Telecommunications,2024,Frontier Signal (Loss of Control),1,Mock excerpt from Vodafone Group 2024 AR: We recognize the potential for frontier signal (loss of control) to materially impact operations...
Vodafone Group,Telecommunications,2025,Societal & Systemic Harms,6,Mock excerpt from Vodafone Group 2025 AR: We recognize the potential for societal & systemic harms to materially impact operations...
Vodafone Group,Telecommunications,2025,Security & Malicious Use,2,Mock excerpt from Vodafone Group 2025 AR: We recognize the potential for security & malicious use to materially impact operations...
Vodafone Group,Telecommunications,2025,Workforce & Economic Displacement,1,Mock excerpt from Vodafone Group 2025 AR: We recognize the potential for workforce & economic displacement to materially impact operations...
Vodafone Group,Telecommunications,2025,Critical Business & Reliability,2,Mock excerpt from Vodafone Group 2025 AR: We recognize the potential for critical business & reliability to materially impact operations...
Vodafone Group,Telecommunications,2025,Legal & Regulatory Compliance,8,Mock excerpt from Vodafone Group 2025 AR: We recognize the potential for legal & regulatory compliance to materially impact operations...
Vodafone Group,Telecommunications,2025,Frontier Signal (Loss of Control),0,
Darktrace,Technology,2021,Societal & Systemic Harms,1,Mock excerpt from Darktrace 2021 AR: We recognize the potential for societal & systemic harms to materially impact operations...
Darktrace,Technology,2021,Security & Malicious Use,0,
Darktrace,Technology,2021,Workforce & Economic Displacement,0,
Darktrace,Technology,2021,Critical Business & Reliability,0,
Darktrace,Technology,2021,Legal & Regulatory Compliance,0,
Darktrace,Technology,2021,Frontier Signal (Loss of Control),0,
Darktrace,Technology,2022,Societal & Systemic Harms,0,
Darktrace,Technology,2022,Security & Malicious Use,0,
Darktrace,Technology,2022,Workforce & Economic Displacement,0,
Darktrace,Technology,2022,Critical Business & Reliability,1,Mock excerpt from Darktrace 2022 AR: We recognize the potential for critical business & reliability to materially impact operations...
Darktrace,Technology,2022,Legal & Regulatory Compliance,1,Mock excerpt from Darktrace 2022 AR: We recognize the potential for legal & regulatory compliance to materially impact operations...
Darktrace,Technology,2022,Frontier Signal (Loss of Control),0,
Darktrace,Technology,2023,Societal & Systemic Harms,1,Mock excerpt from Darktrace 2023 AR: We recognize the potential for societal & systemic harms to materially impact operations...
Darktrace,Technology,2023,Security & Malicious Use,2,Mock excerpt from Darktrace 2023 AR: We recognize the potential for security & malicious use to materially impact operations...
Darktrace,Technology,2023,Workforce & Economic Displacement,2,Mock excerpt from Darktrace 2023 AR: We recognize the potential for workforce & economic displacement to materially impact operations...
Darktrace,Technology,2023,Critical Business & Reliability,6,Mock excerpt from Darktrace 2023 AR: We recognize the potential for critical business & reliability to materially impact operations...
Darktrace,Technology,2023,Legal & Regulatory Compliance,3,Mock excerpt from Darktrace 2023 AR: We recognize the potential for legal & regulatory compliance to materially impact operations...
Darktrace,Technology,2023,Frontier Signal (Loss of Control),0,
Darktrace,Technology,2024,Societal & Systemic Harms,4,Mock excerpt from Darktrace 2024 AR: We recognize the potential for societal & systemic harms to materially impact operations...
Darktrace,Technology,2024,Security & Malicious Use,3,Mock excerpt from Darktrace 2024 AR: We recognize the potential for security & malicious use to materially impact operations...
Darktrace,Technology,2024,Workforce & Economic Displacement,2,Mock excerpt from Darktrace 2024 AR: We recognize the potential for workforce & economic displacement to materially impact operations...
Darktrace,Technology,2024,Critical Business & Reliability,9,Mock excerpt from Darktrace 2024 AR: We recognize the potential for critical business & reliability to materially impact operations...
Darktrace,Technology,2024,Legal & Regulatory Compliance,13,Mock excerpt from Darktrace 2024 AR: We recognize the potential for legal & regulatory compliance to materially impact operations...
Darktrace,Technology,2024,Frontier Signal (Loss of Control),0,
Darktrace,Technology,2025,Societal & Systemic Harms,1,Mock excerpt from Darktrace 2025 AR: We recognize the potential for societal & systemic harms to materially impact operations...
Darktrace,Technology,2025,Security & Malicious Use,4,Mock excerpt from Darktrace 2025 AR: We recognize the potential for security & malicious use to materially impact operations...
Darktrace,Technology,2025,Workforce & Economic Displacement,5,Mock excerpt from Darktrace 2025 AR: We recognize the potential for workforce & economic displacement to materially impact operations...
Darktrace,Technology,2025,Critical Business & Reliability,9,Mock excerpt from Darktrace 2025 AR: We recognize the potential for critical business & reliability to materially impact operations...
Darktrace,Technology,2025,Legal & Regulatory Compliance,6,Mock excerpt from Darktrace 2025 AR: We recognize the potential for legal & regulatory compliance to materially impact operations...
Darktrace,Technology,2025,Frontier Signal (Loss of Control),0,
Rolls-Royce,Industrials,2021,Societal & Systemic Harms,0,
Rolls-Royce,Industrials,2021,Security & Malicious Use,0,
Rolls-Royce,Industrials,2021,Workforce & Economic Displacement,0,
Rolls-Royce,Industrials,2021,Critical Business & Reliability,0,
Rolls-Royce,Industrials,2021,Legal & Regulatory Compliance,1,Mock excerpt from Rolls-Royce 2021 AR: We recognize the potential for legal & regulatory compliance to materially impact operations...
Rolls-Royce,Industrials,2021,Frontier Signal (Loss of Control),0,
Rolls-Royce,Industrials,2022,Societal & Systemic Harms,1,Mock excerpt from Rolls-Royce 2022 AR: We recognize the potential for societal & systemic harms to materially impact operations...
Rolls-Royce,Industrials,2022,Security & Malicious Use,4,Mock excerpt from Rolls-Royce 2022 AR: We recognize the potential for security & malicious use to materially impact operations...
Rolls-Royce,Industrials,2022,Workforce & Economic Displacement,1,Mock excerpt from Rolls-Royce 2022 AR: We recognize the potential for workforce & economic displacement to materially impact operations...
Rolls-Royce,Industrials,2022,Critical Business & Reliability,1,Mock excerpt from Rolls-Royce 2022 AR: We recognize the potential for critical business & reliability to materially impact operations...
Rolls-Royce,Industrials,2022,Legal & Regulatory Compliance,2,Mock excerpt from Rolls-Royce 2022 AR: We recognize the potential for legal & regulatory compliance to materially impact operations...
Rolls-Royce,Industrials,2022,Frontier Signal (Loss of Control),0,
Rolls-Royce,Industrials,2023,Societal & Systemic Harms,7,Mock excerpt from Rolls-Royce 2023 AR: We recognize the potential for societal & systemic harms to materially impact operations...
Rolls-Royce,Industrials,2023,Security & Malicious Use,3,Mock excerpt from Rolls-Royce 2023 AR: We recognize the potential for security & malicious use to materially impact operations...
Rolls-Royce,Industrials,2023,Workforce & Economic Displacement,3,Mock excerpt from Rolls-Royce 2023 AR: We recognize the potential for workforce & economic displacement to materially impact operations...
Rolls-Royce,Industrials,2023,Critical Business & Reliability,4,Mock excerpt from Rolls-Royce 2023 AR: We recognize the potential for critical business & reliability to materially impact operations...
Rolls-Royce,Industrials,2023,Legal & Regulatory Compliance,5,Mock excerpt from Rolls-Royce 2023 AR: We recognize the potential for legal & regulatory compliance to materially impact operations...
Rolls-Royce,Industrials,2023,Frontier Signal (Loss of Control),0,
Rolls-Royce,Industrials,2024,Societal & Systemic Harms,7,Mock excerpt from Rolls-Royce 2024 AR: We recognize the potential for societal & systemic harms to materially impact operations...
Rolls-Royce,Industrials,2024,Security & Malicious Use,8,Mock excerpt from Rolls-Royce 2024 AR: We recognize the potential for security & malicious use to materially impact operations...
Rolls-Royce,Industrials,2024,Workforce & Economic Displacement,9,Mock excerpt from Rolls-Royce 2024 AR: We recognize the potential for workforce & economic displacement to materially impact operations...
Rolls-Royce,Industrials,2024,Critical Business & Reliability,4,Mock excerpt from Rolls-Royce 2024 AR: We recognize the potential for critical business & reliability to materially impact operations...
Rolls-Royce,Industrials,2024,Legal & Regulatory Compliance,9,Mock excerpt from Rolls-Royce 2024 AR: We recognize the potential for legal & regulatory compliance to materially impact operations...
Rolls-Royce,Industrials,2024,Frontier Signal (Loss of Control),1,Mock excerpt from Rolls-Royce 2024 AR: We recognize the potential for frontier signal (loss of control) to materially impact operations...
Rolls-Royce,Industrials,2025,Societal & Systemic Harms,7,Mock excerpt from Rolls-Royce 2025 AR: We recognize the potential for societal & systemic harms to materially impact operations...
Rolls-Royce,Industrials,2025,Security & Malicious Use,7,Mock excerpt from Rolls-Royce 2025 AR: We recognize the potential for security & malicious use to materially impact operations...
Rolls-Royce,Industrials,2025,Workforce & Economic Displacement,6,Mock excerpt from Rolls-Royce 2025 AR: We recognize the potential for workforce & economic displacement to materially impact operations...
Rolls-Royce,Industrials,2025,Critical Business & Reliability,7,Mock excerpt from Rolls-Royce 2025 AR: We recognize the potential for critical business & reliability to materially impact operations...
Rolls-Royce,Industrials,2025,Legal & Regulatory Compliance,12,Mock excerpt from Rolls-Royce 2025 AR: We recognize the potential for legal & regulatory compliance to materially impact operations...
Rolls-Royce,Industrials,2025,Frontier Signal (Loss of Control),1,Mock excerpt from Rolls-Royce 2025 AR: We recognize the potential for frontier signal (loss of control) to materially impact operations...
